Dataset,Model,Accuracy,Precision,Recall,F1
Validation,Random Forest,0.8444266238973537,0.8825575854486608,0.8444266238973537,0.8408432144492903
Validation,Direct DNN/MLP,0.8821170809943866,0.8834461034859863,0.8821170809943866,0.8820738322103754
Validation,Hybrid RF-DNN,0.8949478748997595,0.8945614387661371,0.8949478748997595,0.8946488024108024
Test,Random Forest,0.8259823576583801,0.8712638051559849,0.8259823576583801,0.8204300364018664
Test,Direct DNN/MLP,0.8813151563753007,0.8842784826113926,0.8813151563753007,0.881058971226885
Test,Hybrid RF-DNN,0.8973536487570168,0.8979053083104149,0.8973536487570168,0.897308656286639
